Claim type,"Nutrient substance, food or food category", Claim, Conditions of use of the claim / Restrictions of use / Reasons for non-authorisation, Health relationship, EFSA opinion reference, Commission Regulation, Status, Entry Id
Art.13(1),Ribose,"ATP is used for energy by muscle cells. Ribose helps regenerate muscle ATP levels, thereby improving exercise performance and recovery”
“Ribose helps maintain cellular energy”
“Ribose enhances recovery after strenuous activity”
“Ribose is an important building block for cellular energy”","Non-compliance with the Regulation because on the basis of the scientific evidence assessed, this claimed effect for this food has not been substantiated.",faster recovery from muscle fatigue after exercise,2011;9(6):2257,,Non-authorised,4226
Art.13(1),Casein protein hydrolysate,"Accelerates recovery from exercise
helps to recover faster
shortens the time to recover completely
helps to enhance endurance performance
helps to perform longer
supports endurance performance
increases endurance performance
increases time to fatigue during exercise
helps to enhance physical performance
helps to perform better
supports physical performance
helps to increase physical performance
protects muscle during exercise","Non-compliance with the Regulation because on the basis of the scientific evidence assessed, this claimed effect for this food has not been substantiated.",increase in endurance performance,2011;9(6):2213,,Non-authorised,1497
Art.13(1),Casein protein hydrolysate,"Accelerates recovery from exercise
helps to recover faster
shortens the time to recover completely
helps to enhance endurance performance
helps to perform longer
supports endurance performance
increases endurance performance
increases time to fatigue during exercise
helps to enhance physical performance
helps to perform better
supports physical performance
helps to increase physical performance
protects muscle during exercise","Non-compliance with the Regulation because on the basis of the scientific evidence assessed, this claimed effect for this food has not been substantiated.",faster recovery from muscle fatigue after exercise,2011;9(6):2213,,Non-authorised,1497
Art.13(1),Acerola,Acerola is a major dietary source of antioxidants Antioxidants from dietary sources contribute to the protection against free radicals which cause cell damage Contributes to the protection of cells and tissues from oxidative damage Help strengthen our bod,"Non-compliance with the Regulation because on the basis of the scientific evidence assessed, this claimed effect for this food has not been substantiated.","Protection of DNA, proteins and lipids from oxidative damage",2010;8(2):1489,,Non-authorised,1256
Art.13(1),Acerola,Acerola is a major dietary source of antioxidants/ Antioxidants from dietary sources contribute to the protection against free radicals which cause cell oxidation/ Contributes to the protection of cells and tissues from oxidation/ Help strengthen our body's natural defences against oxidative stress,"Non-compliance with the Regulation because on the basis of the scientific evidence assessed, this claimed effect for this food has not been substantiated.","Protection of DNA, proteins and lipids from oxidative damage",2010;8(2):1489,,Non-authorised,2193
Art.13(1),Acetyl-l-carnitine,Acetyl-l-carnitine helps to support and maintain healthy brain function.,"Non-compliance with the Regulation because on the basis of the scientific evidence assessed, this claimed effect for this food has not been substantiated.",contribution to normal cognitive function,2011;9(6):2200,,Non-authorised,1432
Art.13(1),Arginine,"Acide aminé régulateur du cortisol, médiateur du stress.","Non-compliance with the Regulation because on the basis of the scientific evidence assessed, this claimed effect for this food is not sufficiently defined to be able to be assessed and the claim could not therefore be substantiated.",“Système nerveux”,2011;9(4):2051,,Non-authorised,608
Art.13(1),Dry isoflavones soya extract,Act on hair bulb in order to support hair growth. Prevent hair from premature ageing via their antioxidant properties and on the microcirculation,"Non-compliance with the Regulation because on the basis of the scientific evidence assessed, this claimed effect for this food has not been substantiated.",contribution to normal hair growth,2011;9(7):2264,,Non-authorised,4254
Art.13(1),Vitamine B3,Activate the scalp microcirculation,"Non-compliance with the Regulation because on the basis of the scientific evidence assessed, this claimed effect for this food has not been substantiated.",maintenance of hair,2009;7(9):1224,,Non-authorised,2875
Art.13(1),Vitamine B3,Activate the scalp microcirculation,"Non-compliance with the Regulation because on the basis of the scientific evidence assessed, this claimed effect for this food has not been substantiated.",maintenance of nails,2009;7(9):1224,,Non-authorised,2875
Art.13(1),Horseradish root (Armoracia rusticana) ;;,Active ingredients of horseradish can support the respiratory system health.,"Non-compliance with the Regulation because on the basis of the scientific evidence assessed, this claimed effect for this food has not been substantiated.",relief in case of irritation in the upper respiratory tract,2011;9(6):2248,,Non-authorised,2380
Art.13(1),Lemon (Citrus limonium) - flavonoïdes,Acts as a natural antioxidant. Helps to reduce oxidative stress. Helps to reduce aging effects. Necessary for cells protection. Improves the antioxidant defensive system.,"Non-compliance with the Regulation because on the basis of the scientific evidence assessed, this claimed effect for this food has not been substantiated.","Protection of DNA, proteins and lipids from oxidative damage",2010;8(2):1489,,Non-authorised,3183
Art.13(1),Vitamin C,Acts as free radical scavenger. Renders free radicals harmless,"Non-compliance with the Regulation because on the basis of the scientific evidence assessed, the evidence provided is insufficient to substantiate this claimed effect for this food.",maintenance of vision,2009;7(9):1226,,Non-authorised,141
Art.13(1),Methylsulfonylmethane/MSM,"Acts as natural sulfar source; Feeds the skin from inside out; For healthy skin, nails and hair; Supports a healthy skin.","Non-compliance with the Regulation because on the basis of the scientific evidence assessed, this claimed effect for this food has not been substantiated.",contribution to normal collagen formation,2010;8(10):1746,,Non-authorised,1741
Art.13(1),Methylsulfonylmethane/MSM,"Acts as natural sulfar source; Feeds the skin from inside out; For healthy skin, nails and hair; Supports a healthy skin.","Non-compliance with the Regulation because on the basis of the scientific evidence assessed, this claimed effect for this food has not been substantiated.",maintenance of normal hair,2010;8(10):1746,,Non-authorised,1741
Art.13(1),Methylsulfonylmethane/MSM,"Acts as natural sulfar source; Feeds the skin from inside out; For healthy skin, nails and hair; Supports a healthy skin.","Non-compliance with the Regulation because on the basis of the scientific evidence assessed, this claimed effect for this food has not been substantiated.",maintenance of normal nails,2010;8(10):1746,,Non-authorised,1741
Art.13(1),Herbal yeast plasmolycate (saccharomyces cerevisiae),"Adds vigour and activity.
Reduces feeling of tiredness.
Improves concentration","Non-compliance with the Regulation because on the basis of the scientific evidence assessed, this food is not sufficiently characterised for a scientific assessment of this claimed effect and the claim could not therefore be substantiated.",not validated,2011;9(6):2243,,Non-authorised,1816
Art.13(1),N-acetyl-l-cysteïne,Adequate supply contributes to glutathione homeostasis /restoring glutathione levels with cysteine helps to keep the redox state in balance /building glutathione levels with cysteine support the body’s natural defense system /building glutathione levels with cysteine supports the detoxification function of your liver,"Non-compliance with the Regulation because on the basis of the scientific evidence assessed, this claimed effect for this food has not been substantiated.",contribution to the normal glutathione formation,2010;8(10):1795,,Non-authorised,1745
Art.13(1),L-carnosine,"Against skin ageing.
Protects cells from ageing","Non-compliance with the Regulation because on the basis of the scientific evidence assessed, this claimed effect for this food is not sufficiently defined to be able to be assessed and the claim could not therefore be substantiated.",“skin”,2011;9(4):2038,,Non-authorised,1825
Art.13(1),Chitosane,"Aide à combattre les excès de poids
Aide dans le cadre d'un régime amincissant
Soutient lors d'amincissement
Clarification provided
Contributes to management of weight control/can help in the reduction of body weight/can help to the control of weight by reducing the quantity of fat absorbed from the diet.","Non-compliance with the Regulation because on the basis of the scientific evidence assessed, this claimed effect for this food has not been substantiated.",reduction in body weight,2011;9(6):2214,,Non-authorised,679
Art.13(1),PROPOLIS,"Aide à combattre les refroidissements
Aide à renforcer les défenses naturelles
Soutient le système de défense
Clarification provided
Helps to maintain the integrity of the body thanks to its antimicrobial effects/Propolis has a natural antimicrobial action","Non-compliance with the Regulation because on the basis of the scientific evidence assessed, this food is not sufficiently characterised for a scientific assessment of this claimed effect and the claim could not therefore be substantiated.",not validated,2010;8(10):1810,,Non-authorised,1245
Art.13(1),Conjugated linoleic acid (CLA),"Aids slimming by reducing body fat and preserving lean muscle
Helps to reduce muscle protein loss during a diet","Non-compliance with the Regulation because on the basis of the scientific evidence assessed, this claimed effect for this food has not been substantiated.",contribution to the maintenance or achievement of a normal body weight,2010;8(10):1794,,Non-authorised,686
Art.13(1),Conjugated linoleic acid (CLA),"Aids slimming by reducing body fat and preserving lean muscle
Helps to reduce muscle protein loss during a diet
Increases lean tissue mass
Increases feelings of fullness and satiety
Helps to reduce yoyo-effect after a diet
Improves the burning of fat","Non-compliance with the Regulation because on the basis of the scientific evidence assessed, this claimed effect for this food has not been substantiated.",contribution to the maintenance or achievement of a normal body weight,2010;8(10):1794,,Non-authorised,1516
Art.13(1),"Sugar-free chewing gum containing Pirofosfati - Gomma da masticare senza zucchero con pirofosfati (E450i,ii,iii,iv,v) e tripolifosfati (E451)","Aiuta a contrastare la formazione del tartaro difendendo il benessere delle gengive. Ostacola la formazione del tartaro. Protezione denti e gengive.
Clarification provided
Helps to contrast formation of calculus/tartar defending the wellness of gums- Opposes calculus/tartar formation-Protection for teeth and gums","Non-compliance with the Regulation because on the basis of the scientific evidence assessed, this claimed effect for this food has not been substantiated.",reduction of calculus formation,2011;9(6):2268,,Non-authorised,1309
Art.13(1),Lactobacillus gasseri P 18137,"Aiuta a mantenere la normale microflora vaginale. Aiuta a mantenere il pH vaginale a livelli fisiologici (pH acido). Ripristina l' ecosistema vaginale, alteratosi in seguito a terapia antibiotica/antimicotica. Contribuisce ad inibire lo sviluppo di microrganismi patogeni","Non-compliance with the Regulation because on the basis of the scientific evidence assessed, this claimed effect for this food has not been substantiated.",Defence against vaginal pathogens,2009;7(9):1247,,Non-authorised,2957
,,,,,2012;10(8):2858,,,
Art.13(1),<em>Lactobacillus plantarum</em> P 17630,"Aiuta a mantenere la normale microflora vaginale. Aiuta a mantenere il pH vaginale a livelli fisiologici (pH acido). Ripristina l' ecosistema vaginale, alteratosi in seguito a terapia antibiotica/antimicotica. Contribuisce ad inibire lo sviluppo di microrganismi patogeni.","Non-compliance with the Regulation because on the basis of the scientific evidence assessed, this claimed effect for this food has not been substantiated.",Defence against vaginal pathogens,2009;7(9):1247,,Non-authorised,2967
,,,,,2012;10(8):2858,,,
Art.13(1),Lactobacillus crispatus P 17631,"Aiuta a mantenere la normale microflora vaginale. Aiuta a mantenere il pH vaginale a livelli fisiologici (pH acido). Ripristina l' ecosistema vaginale, alteratosi in seguito a terapia antibiotica/antimicotica. Contribuisce ad inibire lo sviluppo di microrganismi.","Non-compliance with the Regulation because on the basis of the scientific evidence assessed, this claimed effect for this food has not been substantiated.",Defence against vaginal pathogens,2009;7(9):1247,,Non-authorised,2950
,,,,,2012;10(8):2858,,,
Art.13(1),<em>Lactobacillus paracasei </em> I1687,Aiuta a rinforzare le difese naturali. Aiuta a modulare la risposta immunitaria. Riequilibra la risposta immunitaria nei soggetti sensibili a reazioni  allergiche. Coadiuva la risposta immunitaria anche nei casi di infezione virale.,"Non-compliance with the Regulation because on the basis of the scientific evidence assessed, this claimed effect for this food has not been substantiated.",Increasing IL-10 production and/or enhancing the activity of natural killer cells,2010;8(2):1470,,Non-authorised,2960
,,,,,2012;10(8):2858,,,
Art.13(1),Lactobacillus salivarius I1794,Aiuta a rinforzare le difese naturali. Aiuta a modulare la risposta immunitaria. Riequilibra la risposta immunitaria nei soggetti sensibili a reazioni  allergiche. Coadiuva la risposta immunitaria anche nei casi di infezione virale.,"Non-compliance with the Regulation because on the basis of the scientific evidence assessed, this claimed effect for this food has not been substantiated.",Increasing IL-10 production and/or enhancing the activity of natural killer cells,2009;7(9):1247,,Non-authorised,2971
,,,,,2012;10(8):2858,,,
Art.13(1),<em>Lactobacillus paracasei </em> I1688,Aiuta a rinforzare le difese naturali.Aiuta a modulare la risposta immunitaria.Aiuta a regolare la risposta immunitaria nei soggetti che potrebbero manifestare  reazioni  infiammatorie.,"Non-compliance with the Regulation because on the basis of the scientific evidence assessed, this claimed effect for this food has not been substantiated.",Increasing IL-10 production and/or enhancing the activity of natural killer cells,2009;7(9):1247,,Non-authorised,2962
,,,,,2012;10(8):2858,,,
Art.13(1),Alpha lipoic acid,"Alpha lipoc acid is suitable for diabetics, people with impaired glucose tolerance","Non-compliance with the Regulation because on the basis of the scientific evidence assessed, this claimed effect for this food has not been substantiated.",increase in insulin sensitivity,2011;9(6):2202,,Non-authorised,3158
Art.13(1),Alpha lipoic acid,Alpha lipoic acid helps to protect the nervous system.,"Non-compliance with the Regulation because on the basis of the scientific evidence assessed, this claimed effect attributes to this food the property of preventing, treating or curing a human disease, or refers to such properties which is prohibited for foods.",“protection of the nerve system”,2011;9(6):2202,,Non-authorised,3157
Art.13(1),Essential fatty acid Linolenic Acid (LNA-omega 3),Alpha-linolenic acid (omega 3) is important for healthy vascular function and immune system and blood clotting.,"Non-compliance with the Regulation because on the basis of the scientific evidence assessed, this claimed effect for this food is not sufficiently defined to be able to be assessed and the claim could not therefore be substantiated.",“Molecule precursors regulating cell functions”,2011;9(4):2050,,Non-authorised,4671
Art.13(1),Taurine,Amino acid that plays an important role in the immune system.,"Non-compliance with the Regulation because on the basis of the scientific evidence assessed, this claimed effect for this food is not sufficiently defined to be able to be assessed and the claim could not therefore be substantiated.",&quot;immune system protection&quot;,2011;9(4):2035,,Non-authorised,611
Art.13(1),EAS Phosphagen Elite,"Amp up your workout with EAS Phosphagen
Elite, clinically shown to improve ventilatory and lactate thresholds for greater cardiorespiratory endurance in intense workouts (training)
EAS Phosphagen Elite is clinically shown to improve ventilatory and lactate thresholds","Non-compliance with the Regulation because on the basis of the scientific evidence assessed, this claimed effect for this food has not been substantiated.",increase in endurance performance,2011;9(6):2247,,Non-authorised,1539
Art.13(1),Amylopectin,Amylopectin facilitates the replenishment of glycogen stores in skeletal muscle,"Non-compliance with the Regulation because on the basis of the scientific evidence assessed, this claimed effect for this food has not been substantiated.",increase in endurance performance during the subsequent exercise bout after strenuous exercise,2011;9(6):2247,,Non-authorised,1437
Art.13(1),Amylopectin and L-carnitine,"Amylopectin plus L-carnitine facilitate the replenishment of glycogen stores in skeletal muscle, and the switching from carbohydrate oxidation to fat oxidation.","Non-compliance with the Regulation because on the basis of the scientific evidence assessed, this claimed effect for this food has not been substantiated.",increase in endurance performance during the subsequent exercise bout after strenuous exercise,2011;9(6):2247,,Non-authorised,1438
Art.13(1),Argile verte,"Améliore le confort digestif.
Participe à l'absorption des toxines et des gaz se formant.
au cours du processus de digestion
Contribue au confort digestif.","Non-compliance with the Regulation because on the basis of the scientific evidence assessed, this food is not sufficiently characterised for a scientific assessment of this claimed effect and the claim could not therefore be substantiated.",not validated,2011;9(6):2244,,Non-authorised,347
Art.13(1),Magnesium,An adequate magnesium intake can support to maintain normal blood pressure,"Non-compliance with the Regulation because on the basis of the scientific evidence assessed, the evidence provided is insufficient to substantiate this claimed effect for this food.",Maintenance of normal blood pressure,2010;8(10):1807,,Non-authorised,366
Art.13(1),Zeaxanthin,"An optimal intake of zeaxanthin contributes to eye health
supports normal vision
absorbs blue light and scavenges reactive oxygen species in the eye (lens, retina) and, therefore, helps to maintain a healthy retina
stabilizes membranes and, therefore, contributes to make retinal membranes more resistant against damage by light
(together with Lutein) is actively accumulated in the healthy macula.
The highest concentration of carotenoids found in the human body. A sufficient supply therefore contributes to maintaining the integrity and health of this part of the retina which is most essential for optimal visual performance.
Das Carotinoid Zeaxanthin kommt in hoher Konzentration im menschlichen Auge vor. Dort schützt es dieses vor oxidativen Schädigungen durch Radikale.
Zeaxanthin ist ein Beitrag zum Schutz der Augengesundheit.
Zeaxanthin ist ein Radikalfänger.
wird (zusammen mit Lutein) aktiv in der gesunden Makula angereichert, die die höchste Konzentration an Carotinoiden im menschlichen Körper aufweist. Eine ausreichende Versorgung hilft, diesen Teil der Retina, der für ein optimales Sehvermögen sehr wichtig
Zeaxanthin ist ein wichtiges antioxidativ zellschützender vitaminähnlicher Lebensmittelinhaltsstoff für den Menschen mit besonderer Bedeutung für den Lichtschutz.
Als vergleichsweise schwaches Antioxidans kann Zeaxanthin durch die stärkeren antioxidativen Nährstoffe bzw. körpereigenen Antioxidantien – z. B. die Thiole Glutathion, Cystein und Liponsäure - teilweise gegen Oxidation geschützt werden.
Umgekehrt gibt es Hinweise, dass eine hohe Zufuhr von Carotinoiden wie Zeaxanthin auch einen positiven Einfluss auf den Status bei den anderen körpereigenen Antioxidantien hat.
Hohe Mengen an Zeaxanthin sollten aus theoretischen Erwägungen wegen der erforderlichen Regeneration durch die körpereigenen antioxidativen Schutzsysteme zusammen mit anderen antioxidativen Nährstoffen supplementiert werden. Das gilt insbesondere für Personen mit erfahrungsgemäß schlechtem antioxidativem Status (z. B. Raucher, Diabetiker).
Zeaxanthin ist ein effizienter Fänger von freien Radikalen.
Nach der antioxidativen Rangordnung der Carotinoide wird Zeaxanthin im Auge erst nach Vitamin E, ß-Carorin, Lycopin und Lutein verbraucht.–Zeaxanthin ist für das Auge wahrscheinlich die letzte Sicherung gegen oxidative Schäden.
Die natürlich besonders hohe Konzentration von Zeaxanthin in der Netzhautmitte (dem Ort des schärfsten Sehens) spricht für eine besonders wichtige Schutzfunktion beim Schutz der Sehfähigkeit.
(zusammen mit Lutein) hilft es, das Sehvermögen bei trüben Lichtverhältnissen zu verbessern
(together with Lutein) helps to improve visual performance at dim lighting conditions
absorbiert blaues Licht und fängt reaktive Sauerstoffmoleküle im Auge (Linse, Netzhaut) ab und trägt so zum Erhalt einer gesunden Netzhaut bei","Non-compliance with the Regulation because on the basis of the scientific evidence assessed, this claimed effect for this food has not been substantiated.",maintenance of normal vision,2010;8(10):1724,,Non-authorised,1684
Art.13(1),Oenothera biennis-eveninig primrose-seeds oil,"Anti-inflammatory / Helpful in eczema, mastalgia.","Non-compliance with the Regulation because on the basis of the scientific evidence assessed, this claimed effect attributes to this food the property of preventing, treating or curing a human disease, or refers to such properties which is prohibited for foods.",“Anti-inflammatory properties”,2011;9(4):2059,,Non-authorised,4454
Art.13(1),"Probiotics and Prebiotics as contained in the formula AntiBloat:
Bifidobacterium bifidum (CNCM I-3426), 
<em>Lactobacillus casei</em> (CNCM MA 64U), 
Lactobacillus acidophilus (CNCM I-1722), 
Lactococcus lactis (CNCM MA67/4J), 
Fructooligosaccharides (FOS)","AntiBloat Probiotic & Prebiotic improves digestion and intestinal transit alleviating bloating from the build up of unhealthy wastes caused by putrefying pathogenic bacteria.

For a comfortably flat stomach

AntiBloat supports a healthy balance of friendl","Non-compliance with the Regulation because on the basis of the scientific evidence assessed, this food is not sufficiently characterised for a scientific assessment of this claimed effect and the claim could not therefore be substantiated.",not validated,2009;7(9):1247,,Non-authorised,925
Art.13(1),Antioxidant from processed fruits and vegetables and juices,Antioxidant contained in this product contribute to the anti-oxidative functions of the body/ensure protective effect on the organism,"Non-compliance with the Regulation because on the basis of the scientific evidence assessed, this claimed effect for this food has not been substantiated.","protection of DNA, proteins and lipids from oxidative damage",2010;8(10):1752,,Non-authorised,1306
Art.13(1),Antioxidant from processed fruits and vegetables and juices,Antioxidant contained in this product contribute to the anti-oxidative functions of the body/ensure protective effect on the organism,"Non-compliance with the Regulation because on the basis of the scientific evidence assessed, this claimed effect for this food is not a beneficial physiological effect as required by the Regulation.","antioxidant activity, antioxidant content, and antioxidant properties",2010;8(10):1752,,Non-authorised,1306
Art.13(1),Antioxidant from processed fruits and vegetables and juices,Antioxidant contained in this product contribute to the anti-oxidative functions of the body/ensure protective effect on the organism;,"Non-compliance with the Regulation because on the basis of the scientific evidence assessed, this claimed effect for this food has not been substantiated.","Protection of DNA, proteins and lipids from oxidative damage",2010;8(2):1489,,Non-authorised,1439
Art.13(1),Beta Carotene,Antioxidant vitamins and minerals act against age-accelerating free radicals.,"Non-compliance with the Regulation because on the basis of the scientific evidence assessed, this claimed effect for this food has not been substantiated.","protection of DNA, proteins and lipids from oxidative damage",2011;9(4):2021,,Non-authorised,19
Art.13(1),PROPOLIS,Antioxidants can protect from free radicals and helps in case of foods intake deficiency or increased amount of nutrients. Increases the physiological resistance of the organism in case of severe ambiance conditions,"Non-compliance with the Regulation because on the basis of the scientific evidence assessed, this claimed effect for this food has not been substantiated.","Protection of DNA, proteins and lipids from oxidative damage",2010;8(2):1489,,Non-authorised,3797
Art.13(1),AMORPHOPHALLUS KONJAC KOCH,"Antioxidants can protect from free radicals and helps in case of foods intake deficiency or increased amount of nutrients. Useful to protect the skin from UV-induced oxidative damage. Helps protect against the free radicals action due to UV exposure or severe ambiance conditions Antioxidants reducing the production of oxidative cholesterol. Protection against the free radicals action due to stress, alcoholics,UV exposure or polluted ambiance conditions.","Non-compliance with the Regulation because on the basis of the scientific evidence assessed, this claimed effect for this food has not been substantiated.","Protection of DNA, proteins and lipids from oxidative damage",2010;8(2):1489,,Non-authorised,3216
Art.13(1),Antioxidants in coffee,Antioxidants in coffee helps protect our cells against free radicals.,"Non-compliance with the Regulation because on the basis of the scientific evidence assessed, this claimed effect for this food has not been substantiated.","Protection of DNA, proteins and lipids from oxidative damage",2011;9(4):2057,,Non-authorised,3152
Art.13(1),Antioxidant substance,"Antioxidants protect cells from the harmful/ damaging effects of free radicals.
Antioxidants protect against oxidation, which causes cell damage.
Contains antioxidants.","Non-compliance with the Regulation because on the basis of the scientific evidence assessed, this claimed effect for this food has not been substantiated.","protection of DNA, proteins and lipids from oxidative damage",2010;8(10):1752,,Non-authorised,1441
Art.13(1),<em>Lactobacillus plantarum</em> 299v (DSM 9843),Antioxidants that protect your body´s cells,"Non-compliance with the Regulation because on the basis of the scientific evidence assessed, this claimed effect for this food has not been substantiated.","protection of DNA, proteins and lipids from oxidative damage",2011;9(4):2037,,Non-authorised,1083
Art.13(1),Citrus paradisi (Common Name : Grapefruit),Antioxidative properties/supports the body organs and tissues in case of oxidative damage,"Non-compliance with the Regulation because on the basis of the scientific evidence assessed, this claimed effect for this food has not been substantiated.","Protection of DNA, proteins and lipids from oxidative damage",2010;8(2):1489,,Non-authorised,2025
Art.13(1),Apple juice,"Apple juice helps to maintain a healthy cardiovascular system
Clarification provided
Apple juice :
- helps to maintain a healthy cardiovascular system
- plays an important antioxidative function on cardiovascular system","Non-compliance with the Regulation because on the basis of the scientific evidence assessed, this claimed effect for this food has not been substantiated.","protection of DNA, proteins and lipids from oxidative damage",2010;8(10):1752,,Non-authorised,1196
Art.13(1),Apple vinegar drink,Apple vinegar drink helps to maintain vascular health.,"Non-compliance with the Regulation because on the basis of the scientific evidence assessed, this claimed effect for this food has not been substantiated.",maintenance of normal blood pressure,2011;9(6):2199,,Non-authorised,1447
Art.13(1),Natural Palm Oil Carotenes,"Are antioxidants that protects the body's cells.
Can protect you from free radicals which cause cell damage.
Can protect your cells and tissues from oxidative damage.
Can contribute to the total antioxidant capacity of the body.","Non-compliance with the Regulation because on the basis of the scientific evidence assessed, this food is not sufficiently characterised for a scientific assessment of this claimed effect and the claim could not therefore be substantiated.",not validated,2011;9(4):2082,,Non-authorised,1621
Art.13(1),"Brassicaceae (Cruciferae) (Common Name : Botanical family that include broccoli, couliflower, cabbage, Bruxelles sprouts etc.)",Are particularly rich of protective compounds that protect cells and DNA from oxidative damage/are particularly rich of compounds that help our body to eliminate toxic substances,"Non-compliance with the Regulation because on the basis of the scientific evidence assessed, this claimed effect for this food has not been substantiated.","protection of DNA, proteins and lipids from oxidative damage",2010;8(10):1752,,Non-authorised,1312
Art.13(1),L-Arginine,"Arginine can contribute to the maintenance of the healthy blood circulation.
Clarification provided
Arginine can contribute to the maintenance of the healthy blood circulation.
Arginine can contribute to the maintance of the normal blood circulation, such as the healthy blood pressure and the haematopoiesis.","Non-compliance with the Regulation because on the basis of the scientific evidence assessed, this claimed effect for this food has not been substantiated.",Improvement of endothelium-dependent vasodilation,2011;9(4):2051,,Non-authorised,664
Art.13(1),L-Arginine,"Arginine can contribute to the maintenance of the healthy blood circulation.
Clarification provided
Arginine can contribute to the maintenance of the healthy blood circulation.
Arginine can contribute to the maintance of the normal blood circulation, such as the healthy blood pressure and the haematopoiesis.","Non-compliance with the Regulation because on the basis of the scientific evidence assessed, this claimed effect for this food has not been substantiated.",Maintenance of normal blood pressure,2011;9(4):2051,,Non-authorised,664
Art.13(1),L-Arginine,"Arginine can contribute to the maintenance of the healthy blood circulation.
Clarification provided
Arginine can contribute to the maintenance of the healthy blood circulation.
Arginine can contribute to the maintance of the normal blood circulation, such as the healthy blood pressure and the haematopoiesis.","Non-compliance with the Regulation because on the basis of the scientific evidence assessed, this claimed effect for this food has not been substantiated.",Normal red blood cell formation,2011;9(4):2051,,Non-authorised,664
Art.13(1),Superoxide dismutase,As a strong antioxidant it protects the body’s cells from the damage caused by free radicals,"Non-compliance with the Regulation because on the basis of the scientific evidence assessed, this claimed effect for this food has not been substantiated.","protection of DNA, proteins and lipids from oxidative damage",2010;8(10):1753,,Non-authorised,1785
Art.13(1),Decaffeinated green (unroasted) coffee bean extract produced from Coffea canephora robusta (plant:extract ratio between 6:1 to 8:1).  The active ingredients contained in the green coffee extract are chlorogenic acids (>45% w/w). The chlorogenic acids main,"As an aid to weight loss and weight control as part of a calorie controlled diet.
Acts by reducing absorption of sugar (glucose) from the digestive tract.","Non-compliance with the Regulation because on the basis of the scientific evidence assessed, this claimed effect for this food has not been substantiated.",Contribution to the maintenance or achievement of a normal body weight,2011;9(4):2057,,Non-authorised,4326
Art.13(1),Mycoprotein,"As part of a low fat diet, mycoprotein helps maintain normal cholesterol levels that keep your heart healthy","Non-compliance with the Regulation because on the basis of the scientific evidence assessed, this claimed effect for this food has not been substantiated.",maintenance of normal blood LDL-cholesterol concentrations,2011;9(4):2042,,Non-authorised,1619
Art.13(1),Astaxanthin,Astaxanthin favourably influence on condition of cartilage.,"Non-compliance with the Regulation because on the basis of the scientific evidence assessed, this claimed effect for this food has not been substantiated.","maintenance of joints, tendons, and connective tissue",2009;7(9):1253,,Non-authorised,3142
Art.13(1),Naturligt astaxanthin från den encelliga grönalgen Haematococcus pluvialis,"Astaxanthin främjar en god magfunktion.#C
Astaxanthin improves stomach comfort.#C
Clarification provided
Astaxanthin improves stomach comfort.#C","Non-compliance with the Regulation because on the basis of the scientific evidence assessed, this claimed effect for this food has not been substantiated.",defence against Helicobacter pylori,2011;9(6):2206,,Non-authorised,1686
Art.13(1),Naturligt astaxanthin från den encelliga grönalgen Haematococcus pluvialis,"Astaxanthin främjar spermierna/sädescellernas rörlighet och funktion.#C
Astaxanthin promotes sperms motility and functionality.#C
Clarification provided
Astaxanthin promotes sperms motility and functionality.#C see MS comment.","Non-compliance with the Regulation because on the basis of the scientific evidence assessed, this claimed effect for this food has not been substantiated.",contribution to normal spermatogenesis,2011;9(6):2206,,Non-authorised,1688
Art.13(1),Naturligt astaxanthin från den encelliga grönalgen Haematococcus pluvialis,"Astaxanthin ger musklerna god uthållighet och alert kropp vid träning.#C
Astaxanthin maintains good muscle persistence and alert body at exercise.#C
Clarification provided
Astaxanthin maintains good muscle persistence and alert body at exercise.#C","Non-compliance with the Regulation because on the basis of the scientific evidence assessed, this claimed effect for this food is not sufficiently defined to be able to be assessed and the claim could not therefore be substantiated.",contribution to normal muscle function,2011;9(6):2206,,Non-authorised,1685
Art.13(1),Astaxanthin,Astaxanthin helps to protect against free radicals and harmful factors of environment,"Non-compliance with the Regulation because on the basis of the scientific evidence assessed, this claimed effect for this food has not been substantiated.","protection of DNA, proteins and lipids from oxidative damage",2009;7(9):1253,,Non-authorised,3141
Art.13(1),Naturligt astaxanthin från den encelliga grönalgen Haematococcus pluvialis,"Astaxanthin är bra för hudens fuktighet och elasticitet samt skyddar mot UV-strålning.#A
Astaxanthin promotes skin moisture and elasticity plus protect against UV-irradiation.#A
Clarification provided
Astaxanthin promotes skin moisture and elasticity plus protect against UV-irradiation.#A see MS comment","Non-compliance with the Regulation because on the basis of the scientific evidence assessed, this claimed effect for this food has not been substantiated.",protection of the skin from UV-induced damage,2011;9(6):2206,,Non-authorised,1687
Art.13(1),Naturligt astaxanthin från den encelliga grönalgen Haematococcus pluvialis,"Astaxanthin är en biologiskt aktiv antioxidant som skyddar kroppens celler och bidrar till att främja immunsystemets funktion.
Astaxanthin is strong antioxidant protecting the cells in the body and it helps to maintain the immune system.
Clarification provided
Astaxanthin is strong antioxidant protecting the cells in the body and it helps to maintain the immune system.","Non-compliance with the Regulation because on the basis of the scientific evidence assessed, this claimed effect for this food is not sufficiently defined to be able to be assessed and the claim could not therefore be substantiated.",“Immune system”,2011;9(6):2206,,Non-authorised,1689
